	Token	Polarity	StdDev	Grades
510	accomplished	1.9	0.53852	[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]
511	accomplishes	1.7	0.9	[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]
512	accusation	-1.0	1.09545	[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]
513	accusations	-1.3	1.26886	[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]
514	accuse	-0.8	1.53623	[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]
515	accused	-1.2	1.46969	[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]
516	accuses	-1.4	1.0198	[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]
517	accusing	-0.7	1.34536	[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]
518	ache	-1.6	1.2	[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]
519	ached	-1.6	0.8	[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]
520	aches	-1.0	0.7746	[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]
521	achievable	1.3	0.45826	[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]
522	aching	-2.2	0.74833	[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]
523	acquit	0.8	1.72047	[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]
524	acquits	0.1	1.37477	[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]
525	acquitted	1.0	0.89443	[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]
526	acquitting	1.3	0.78102	[3, 2, 0, 1, 1, 1, 2, 1, 1, 1]
527	acrimonious	-1.7	1.73494	[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]
528	active	1.7	1.26886	[1, 2, 1, 1, 1, 4, 2, 4, 0, 1]
529	actively	1.3	0.78102	[0, 1, 0, 2, 2, 1, 1, 2, 2, 2]
530	activeness	0.6	0.8	[0, 2, 0, 0, 1, 0, 1, 0, 2, 0]
531	activenesses	0.8	0.74833	[2, 0, 1, 0, 0, 0, 1, 2, 1, 1]
532	actives	1.1	0.7	[2, 1, 0, 1, 1, 0, 1, 1, 2, 2]
533	adequate	0.9	0.7	[0, 0, 1, 1, 0, 2, 1, 1, 2, 1]
