	Token	Polarity	StdDev	Grades
3907	impersonal	-1.3	0.45826	[-2, -2, -1, -1, -2, -1, -1, -1, -1, -1]
3908	impolite	-1.6	0.66332	[-2, -1, -3, -1, -1, -1, -1, -2, -2, -2]
3909	impolitely	-1.8	0.6	[-2, -2, -1, -1, -2, -1, -2, -2, -3, -2]
3910	impoliteness	-1.8	0.87178	[-1, -3, -2, -3, -2, -3, -1, -1, -1, -1]
3911	impolitenesses	-2.3	0.78102	[-3, -2, -2, -1, -1, -3, -3, -2, -3, -3]
3912	importance	1.5	0.80623	[2, 1, 2, 3, 1, 2, 1, 0, 2, 1]
3913	importancies	0.4	1.42829	[0, 0, 1, 2, 0, 0, 2, 2, 0, -3]
3914	importancy	1.4	0.66332	[2, 1, 2, 2, 1, 2, 1, 0, 2, 1]
3915	important	0.8	1.07703	[0, 0, 0, 2, 1, 0, 0, 3, 2, 0]
3916	importantly	1.3	0.78102	[2, 1, 2, 1, 2, 2, 0, 0, 1, 2]
3917	impose	-1.2	0.4	[-1, -1, -1, -1, -2, -1, -2, -1, -1, -1]
3918	imposed	-0.3	1.41774	[2, -1, -1, -1, 1, 0, -2, 2, -2, -1]
3919	imposes	-0.4	1.42829	[-2, -1, 1, -2, -1, -1, -2, 1, 2, 1]
3920	imposing	-0.4	1.0198	[1, -1, -2, -1, 1, 1, 0, -1, -1, -1]
3921	impotent	-1.1	0.3	[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]
3922	impress	1.9	0.53852	[2, 2, 1, 2, 2, 2, 2, 1, 2, 3]
3923	impressed	2.1	0.3	[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]
3924	impresses	2.1	0.3	[2, 2, 2, 2, 2, 2, 3, 2, 2, 2]
3925	impressibility	1.2	1.249	[-1, 2, 0, 2, 0, 2, 2, 3, 2, 0]
3926	impressible	0.8	1.16619	[2, -1, 1, 0, -1, 2, 1, 0, 2, 2]
3927	impressing	2.5	0.92195	[3, 4, 1, 2, 3, 2, 3, 1, 3, 3]
3928	impression	0.9	0.9434	[0, 1, 0, 0, 2, 2, 0, 2, 0, 2]
3929	impressionable	0.2	1.07703	[0, 0, -1, 1, -1, -1, 0, 2, 0, 2]
3930	impressionism	0.8	1.07703	[0, 2, 3, 0, 0, 2, 0, 0, 1, 0]
3931	impressionisms	0.5	0.80623	[0, 0, 0, 0, 0, 2, 0, 1, 0, 2]
3932	impressionist	1.0	1.09545	[0, 2, 3, 0, 0, 2, 2, 0, 1, 0]
3933	impressionistic	1.5	1.20416	[2, 2, 0, 0, 1, 0, 2, 2, 4, 2]
3934	impressionistically	1.6	0.8	[2, 0, 1, 1, 2, 2, 3, 2, 2, 1]
3935	impressionists	0.5	1.43178	[2, 0, 0, 1, 1, 2, -2, 2, 1, -2]
3936	impressions	0.9	1.13578	[2, 0, 0, 3, 0, 2, 0, 2, 0, 0]
3937	impressive	2.3	0.78102	[1, 2, 3, 2, 3, 2, 3, 3, 3, 1]
3938	impressively	2.0	0.89443	[3, 1, 1, 2, 2, 2, 2, 4, 2, 1]
3939	impressiveness	1.7	0.64031	[2, 1, 2, 3, 1, 2, 2, 2, 1, 1]
3940	impressment	-0.4	1.85472	[-2, 1, 3, -2, -1, -3, 0, 0, 2, -2]
3941	impressments	0.5	1.20416	[2, 0, 0, 1, 2, 2, 0, -2, 0, 0]
3942	impressure	0.6	1.0198	[-1, 0, 0, 0, 0, 2, 0, 2, 1, 2]
3943	imprisoned	-2.0	1.0	[-4, -2, -3, -1, -3, -2, -1, -2, -1, -1]
3944	improve	1.9	0.7	[2, 3, 3, 2, 1, 1, 2, 2, 1, 2]
3945	improved	2.1	0.7	[3, 1, 2, 3, 2, 3, 1, 2, 2, 2]
3946	improvement	2.0	0.63246	[2, 3, 3, 2, 1, 1, 2, 2, 2, 2]
3947	improvements	1.3	0.64031	[0, 2, 2, 1, 2, 2, 1, 1, 1, 1]
3948	improver	1.8	0.6	[2, 1, 2, 1, 2, 3, 1, 2, 2, 2]
3949	improvers	1.3	0.78102	[1, 2, 2, 1, 2, 2, 0, 0, 1, 2]
3950	improves	1.8	1.07703	[3, -1, 2, 2, 2, 3, 1, 2, 2, 2]
3951	improving	1.8	0.4	[2, 2, 1, 1, 2, 2, 2, 2, 2, 2]
3952	inability	-1.7	0.9	[-2, -2, -3, 0, -2, -3, -2, -1, -1, -1]
3953	inaction	-1.0	0.63246	[-2, -1, 0, -1, -1, 0, -1, -2, -1, -1]
3954	inadequacies	-1.7	0.64031	[-1, -3, -2, -1, -2, -1, -2, -2, -1, -2]
3955	inadequacy	-1.7	0.78102	[-1, -3, -1, -1, -3, -2, -2, -1, -2, -1]
3956	inadequate	-1.7	0.64031	[-2, -1, -1, -3, -1, -1, -2, -2, -2, -2]
3957	inadequately	-1.0	1.26491	[-3, -1, -1, -2, 2, -1, -2, -1, 0, -1]
3958	inadequateness	-1.7	0.45826	[-2, -2, -1, -1, -1, -2, -2, -2, -2, -2]
3959	inadequatenesses	-1.6	0.91652	[-1, -1, -2, -1, -2, -4, -2, -1, -1, -1]
3960	incapable	-1.6	0.4899	[-1, -2, -1, -1, -2, -1, -2, -2, -2, -2]
3961	incapacitated	-1.9	0.9434	[-2, -2, -1, -1, -2, -4, -1, -1, -2, -3]
3962	incensed	-2.0	1.0	[-2, -1, -4, 0, -2, -2, -2, -3, -2, -2]
3963	incentive	1.5	1.0247	[1, 2, 1, 2, 1, 0, 4, 2, 1, 1]
3964	incentives	1.3	1.34536	[2, 2, 1, 1, 3, 1, -2, 3, 1, 1]
3965	incompetence	-2.3	0.45826	[-3, -2, -2, -3, -2, -3, -2, -2, -2, -2]
3966	incompetent	-2.1	0.83066	[-1, -1, -2, -2, -3, -3, -2, -3, -1, -3]
3967	inconsiderate	-1.9	0.7	[-2, -1, -1, -1, -2, -2, -2, -3, -3, -2]
3968	inconvenience	-1.5	0.5	[-1, -2, -1, -1, -1, -2, -2, -1, -2, -2]
3969	inconvenient	-1.4	0.4899	[-2, -2, -1, -2, -1, -2, -1, -1, -1, -1]
3970	increase	1.3	0.64031	[1, 2, 2, 1, 2, 0, 1, 1, 2, 1]
3971	increased	1.1	1.04403	[2, 0, 3, 2, 2, 1, 0, 1, 0, 0]
3972	indecision	-0.8	0.6	[-1, 0, -1, 0, -1, -1, -2, 0, -1, -1]
3973	indecisions	-1.1	0.53852	[-1, -1, -1, -1, -2, -1, -2, -1, 0, -1]
3974	indecisive	-1.0	0.44721	[0, -1, -1, -1, -1, -2, -1, -1, -1, -1]
3975	indecisively	-0.7	1.18743	[-2, -1, -1, -1, -1, -1, -2, 2, 1, -1]
3976	indecisiveness	-1.3	0.64031	[-1, -3, -1, -2, -1, -1, -1, -1, -1, -1]
3977	indecisivenesses	-0.9	0.53852	[-1, -1, 0, -1, -1, 0, -1, -2, -1, -1]
3978	indestructible	0.6	1.85472	[3, 4, -1, -2, 1, 1, 2, 0, -1, -1]
3979	indifference	-0.2	0.74833	[0, -1, 0, 0, 0, 1, -2, 0, 0, 0]
3980	indifferent	-0.8	0.6	[-1, 0, 0, -1, -2, -1, -1, 0, -1, -1]
3981	indignant	-1.8	0.74833	[-1, -3, -2, -2, -2, -1, -1, -1, -3, -2]
3982	indignation	-2.4	0.8	[-2, -1, -2, -3, -3, -3, -1, -3, -3, -3]
3983	indoctrinate	-1.4	0.91652	[-1, -3, -1, 0, -2, -1, -2, -2, 0, -2]
3984	indoctrinated	-0.4	1.35647	[1, -2, -3, 1, -1, 1, 1, -1, -1, 0]
3985	indoctrinates	-0.6	1.2	[1, -1, -3, 1, -1, 1, -1, -1, -1, -1]
3986	indoctrinating	-0.7	1.41774	[-1, 0, -3, -1, -2, -1, 2, -2, 0, 1]
3987	ineffective	-0.5	1.74642	[-2, -1, -1, -1, -2, 2, -2, 1, 3, -2]
3988	ineffectively	-1.3	0.9	[-2, -2, -2, 1, -1, -1, -1, -2, -1, -2]
3989	ineffectiveness	-1.3	0.45826	[-1, -1, -2, -1, -1, -2, -1, -1, -2, -1]
3990	ineffectual	-1.2	0.4	[-1, -1, -1, -1, -1, -1, -1, -2, -2, -1]
3991	ineffectuality	-1.6	0.66332	[-2, -1, -1, -1, -2, -1, -3, -2, -2, -1]
3992	ineffectually	-1.1	0.9434	[-1, -2, -2, -1, 0, -1, -2, -1, 1, -2]
3993	ineffectualness	-1.3	0.45826	[-2, -1, -1, -1, -1, -2, -1, -1, -2, -1]
3994	infatuated	0.2	1.72047	[3, 2, 0, 3, -1, -1, -2, 0, -1, -1]
3995	infatuation	0.6	1.74356	[1, -1, -1, 2, -1, 1, 4, 2, 1, -2]
3996	infected	-2.2	0.6	[-3, -2, -2, -2, -2, -2, -3, -1, -2, -3]
3997	inferior	-1.7	0.78102	[-1, -2, -2, -1, -1, -3, -2, -1, -1, -3]
3998	inferiorities	-1.9	0.7	[-2, -3, -1, -2, -2, -3, -1, -1, -2, -2]
3999	inferiority	-1.1	1.7	[-2, -3, -2, -2, -2, -3, 2, 1, -1, 1]
4000	inferiorly	-2.0	0.63246	[-3, -2, -2, -2, -2, -3, -1, -2, -1, -2]
4001	inferiors	-0.5	1.43178	[-1, -1, -1, -2, -1, 0, 3, -1, 1, -2]
4002	inflamed	-1.4	1.28062	[-2, -2, -1, -2, -2, -1, 2, -3, -2, -1]
4003	influential	1.9	1.04403	[3, 1, 2, 3, 4, 1, 1, 2, 1, 1]
4004	infringement	-2.1	0.83066	[-3, -1, -2, -1, -2, -1, -3, -3, -2, -3]
4005	infuriate	-2.2	0.87178	[-2, -1, -3, -3, -2, -3, -3, -1, -1, -3]
4006	infuriated	-3.0	0.7746	[-1, -4, -3, -3, -3, -3, -3, -3, -3, -4]
4007	infuriates	-2.6	0.8	[-4, -2, -1, -3, -3, -3, -2, -3, -3, -2]
4008	infuriating	-2.4	1.42829	[-1, -3, -3, -3, -3, -4, 0, 0, -4, -3]
4009	inhibin	-0.2	0.4	[-1, 0, 0, 0, 0, 0, 0, 0, -1, 0]
4010	inhibit	-1.6	0.4899	[-1, -2, -1, -2, -1, -2, -2, -2, -1, -2]
4011	inhibited	-0.4	0.4899	[0, 0, -1, 0, -1, -1, 0, -1, 0, 0]
4012	inhibiting	-0.4	1.42829	[1, -1, -1, -1, -2, -1, 2, -2, 2, -1]
4013	inhibition	-1.5	0.67082	[-1, -1, -1, -1, -2, -1, -1, -2, -2, -3]
4014	inhibitions	-0.8	0.74833	[-2, -1, -2, 0, 0, 0, 0, -1, -1, -1]
4015	inhibitive	-1.4	0.4899	[-2, -2, -1, -1, -2, -1, -2, -1, -1, -1]
4016	inhibitor	-0.3	1.00499	[-2, 1, 1, -1, 1, 0, -1, -1, 0, -1]
4017	inhibitors	-1.0	0.7746	[-1, 0, -2, -1, -2, -2, 0, 0, -1, -1]
4018	inhibitory	-1.0	0.7746	[0, -1, -2, -2, -1, -2, 0, 0, -1, -1]
4019	inhibits	-0.9	0.53852	[-1, -1, -2, -1, -1, 0, -1, -1, -1, 0]
4020	injured	-1.7	0.64031	[-2, -1, -1, -1, -2, -1, -2, -2, -3, -2]
4021	injury	-1.8	0.6	[-2, -2, -1, -2, -1, -1, -2, -3, -2, -2]
4022	injustice	-2.7	0.64031	[-3, -2, -3, -4, -3, -3, -2, -2, -3, -2]
4023	innocence	1.6	0.91652	[3, 1, 1, 1, 2, 2, 0, 3, 2, 1]
4024	innocency	1.9	0.83066	[3, 1, 2, 0, 2, 2, 2, 3, 2, 2]
4025	innocent	1.4	1.2	[1, -1, 2, 2, 2, 0, 1, 3, 3, 1]
4026	innocenter	0.9	1.37477	[1, 1, 1, 2, 2, 1, 1, -3, 1, 2]
4027	innocently	1.4	0.8	[0, 2, 1, 1, 1, 1, 3, 2, 2, 1]
4028	innocents	1.1	1.04403	[0, 0, 2, 2, 2, -1, 1, 1, 2, 2]
4029	innovate	2.2	0.74833	[2, 4, 3, 2, 2, 1, 2, 2, 2, 2]
4030	innovates	2.0	0.89443	[2, 2, 2, 0, 1, 3, 3, 2, 3, 2]
4031	innovation	1.6	0.91652	[1, 0, 3, 2, 1, 2, 3, 2, 1, 1]
4032	innovative	1.9	0.83066	[1, 1, 2, 1, 2, 4, 2, 2, 2, 2]
4033	inquisition	-1.2	1.249	[-2, 1, -1, 0, 0, -3, -1, -3, -2, -1]
4034	inquisitive	0.7	1.18743	[2, 1, 1, 2, -2, -1, 1, 1, 1, 1]
4035	insane	-1.7	0.78102	[-2, 0, -2, -1, -2, -3, -2, -2, -1, -2]
4036	insanity	-2.7	1.00499	[-2, -4, -1, -1, -3, -4, -3, -3, -3, -3]
4037	insecure	-1.8	0.74833	[-1, -2, -2, -1, -3, -2, -3, -2, -1, -1]
4038	insecurely	-1.4	0.66332	[-3, -1, -1, -1, -2, -1, -2, -1, -1, -1]
4039	insecureness	-1.8	0.87178	[-1, -1, -1, -3, -3, -3, -2, -2, -1, -1]
4040	insecurities	-1.8	0.6	[-3, -2, -2, -2, -1, -2, -1, -1, -2, -2]
4041	insecurity	-1.8	0.74833	[-2, -2, -2, -1, -3, -3, -2, -1, -1, -1]
4042	insensitive	-0.9	1.81384	[2, -3, -2, -1, 2, -3, -2, 1, -1, -2]
4043	insensitivity	-1.8	0.6	[-2, -2, -1, -3, -2, -2, -1, -2, -1, -2]
4044	insignificant	-1.4	0.8	[-3, -2, -1, -2, -1, -2, 0, -1, -1, -1]
4045	insincere	-1.8	0.6	[-2, -1, -2, -1, -2, -2, -2, -2, -1, -3]
4046	insincerely	-1.9	0.7	[-2, -1, -2, -2, -1, -3, -2, -3, -1, -2]
4047	insincerity	-1.4	1.35647	[-1, -1, -3, -2, -1, 2, -2, -1, -2, -3]
4048	insipid	-2.0	0.7746	[-1, -2, -2, -1, -3, -3, -3, -2, -2, -1]
4049	inspiration	2.4	0.8	[3, 3, 3, 3, 1, 3, 1, 3, 2, 2]
4050	inspirational	2.3	0.64031	[2, 3, 2, 3, 2, 3, 2, 3, 1, 2]
4051	inspirationally	2.3	0.64031	[3, 2, 2, 3, 3, 1, 2, 2, 3, 2]
4052	inspirations	2.1	0.53852	[2, 2, 2, 2, 1, 2, 2, 3, 3, 2]
4053	inspirator	1.9	1.22066	[2, 2, 3, 0, 3, 4, 0, 2, 1, 2]
4054	inspirators	1.2	0.74833	[3, 1, 1, 2, 1, 1, 1, 1, 0, 1]
4055	inspiratory	1.5	0.67082	[2, 2, 3, 1, 1, 1, 1, 1, 2, 1]
4056	inspire	2.7	0.78102	[2, 3, 3, 3, 3, 3, 3, 1, 4, 2]
4057	inspired	2.2	0.87178	[3, 2, 1, 3, 1, 1, 3, 2, 3, 3]
4058	inspirer	2.2	1.07703	[3, 2, 2, 4, 0, 2, 3, 1, 3, 2]
4059	inspirers	2.0	0.63246	[2, 2, 3, 2, 3, 2, 1, 2, 1, 2]
4060	inspires	1.9	1.04403	[2, 2, 2, 4, 0, 2, 3, 1, 1, 2]
4061	inspiring	1.8	1.07703	[2, 2, 2, -1, 2, 3, 2, 2, 1, 3]
4062	inspiringly	2.6	0.4899	[2, 3, 3, 2, 3, 3, 2, 3, 2, 3]
4063	inspirit	1.9	0.7	[1, 3, 2, 1, 2, 1, 3, 2, 2, 2]
4064	inspirited	1.3	1.18743	[2, 2, 0, 0, 3, 0, 2, 0, 3, 1]
4065	inspiriting	1.8	0.4	[1, 2, 1, 2, 2, 2, 2, 2, 2, 2]
4066	inspiritingly	2.1	1.44568	[3, 2, 2, 2, 4, 1, -1, 3, 4, 1]
4067	inspirits	0.8	1.46969	[3, 0, 3, -2, 0, 1, 1, 0, 2, 0]
4068	insult	-2.3	1.00499	[-2, -1, -2, -3, -4, -1, -3, -1, -3, -3]
4069	insulted	-2.3	0.45826	[-2, -2, -2, -2, -3, -2, -2, -2, -3, -3]
4070	insulter	-2.0	0.63246	[-2, -1, -2, -2, -1, -3, -3, -2, -2, -2]
4071	insulters	-2.0	0.44721	[-2, -3, -2, -2, -2, -2, -2, -1, -2, -2]
4072	insulting	-2.2	0.74833	[-3, -2, -3, -3, -2, -3, -1, -2, -2, -1]
4073	insultingly	-2.3	0.78102	[-3, -3, -1, -2, -2, -3, -2, -1, -3, -3]
4074	insults	-1.8	0.6	[-2, -3, -2, -2, -1, -1, -1, -2, -2, -2]
4075	intact	0.8	0.6	[1, 1, 0, 0, 1, 1, 0, 1, 1, 2]
4076	integrity	1.6	0.66332	[2, 1, 1, 1, 2, 1, 3, 1, 2, 2]
4077	intellect	2.0	1.09545	[2, 1, 4, 2, 1, 3, 2, 3, 0, 2]
4078	intellection	0.6	1.0198	[0, 0, 0, 1, 0, 0, 0, 0, 2, 3]
4079	intellections	0.8	0.87178	[1, 0, 1, 0, 1, 1, 1, 0, 0, 3]
4080	intellective	1.7	0.78102	[3, 2, 1, 2, 2, 1, 0, 2, 2, 2]
4081	intellectively	0.8	0.9798	[0, 0, 1, 1, 0, 3, 0, 1, 2, 0]
4082	intellects	1.8	0.87178	[1, 0, 2, 1, 3, 2, 2, 2, 3, 2]
4083	intellectual	2.3	0.9	[3, 3, 1, 2, 3, 4, 2, 2, 1, 2]
4084	intellectualism	2.2	1.07703	[4, 0, 3, 1, 3, 2, 2, 3, 2, 2]
4085	intellectualist	2.0	1.0	[4, 0, 2, 1, 3, 2, 2, 2, 2, 2]
4086	intellectualistic	1.3	1.73494	[1, 4, 0, 3, -2, 0, 2, 3, 0, 2]
4087	intellectualists	0.8	0.74833	[0, 1, 1, 1, 0, 2, 0, 1, 2, 0]
4088	intellectualities	1.7	1.34536	[3, 3, 0, 2, 1, 0, 0, 4, 2, 2]
4089	intellectuality	1.7	1.1	[3, 2, 2, 1, 2, 1, 0, 3, 0, 3]
4090	intellectualization	1.5	1.11803	[2, 1, 2, 1, 4, 2, 0, 0, 2, 1]
4091	intellectualize	1.5	0.92195	[1, 2, 1, 1, 3, 2, 3, 0, 1, 1]
4092	intellectualized	1.2	0.74833	[1, 0, 1, 1, 2, 0, 1, 2, 2, 2]
4093	intellectualizes	1.8	0.87178	[2, 3, 2, 0, 2, 3, 2, 2, 1, 1]
4094	intellectualizing	0.8	1.77764	[0, 1, 2, 1, 0, 2, 2, -4, 2, 2]
4095	intellectually	1.4	0.8	[2, 0, 0, 1, 2, 2, 2, 2, 2, 1]
4096	intellectualness	1.5	0.80623	[2, 2, 2, 2, 0, 0, 1, 2, 2, 2]
4097	intellectuals	1.6	0.8	[0, 1, 2, 1, 3, 2, 1, 2, 2, 2]
4098	intelligence	2.1	0.9434	[3, 2, 2, 1, 3, 3, 3, 2, 2, 0]
4099	intelligencer	1.5	0.80623	[2, 0, 0, 2, 2, 2, 2, 1, 2, 2]
4100	intelligencers	1.6	0.91652	[2, 2, 0, 2, 2, 0, 3, 2, 2, 1]
4101	intelligences	1.6	0.91652	[3, 0, 0, 2, 2, 2, 2, 1, 2, 2]
4102	intelligent	2.0	0.7746	[1, 2, 2, 1, 4, 2, 2, 2, 2, 2]
4103	intelligential	1.9	0.9434	[3, 2, 2, 1, 3, 2, 2, 3, 0, 1]
4104	intelligently	2.0	0.63246	[2, 3, 2, 3, 1, 2, 2, 1, 2, 2]
4105	intelligentsia	1.5	1.20416	[0, 1, 2, 0, 4, 3, 2, 1, 1, 1]
4106	intelligibility	1.5	0.80623	[2, 2, 0, 2, 2, 1, 2, 0, 2, 2]
4107	intelligible	1.4	0.8	[1, 2, 2, 1, 0, 2, 1, 1, 3, 1]
4108	intelligibleness	1.5	1.20416	[2, 1, 3, -1, 2, 2, 2, 0, 1, 3]
4109	intelligibly	1.2	0.87178	[1, 2, 1, 2, 1, -1, 2, 2, 1, 1]
4110	intense	0.3	0.45826	[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]
4111	interest	2.0	1.18322	[2, 3, 3, 1, 1, 3, 4, 1, 2, 0]
4112	interested	1.7	0.45826	[2, 1, 2, 2, 1, 2, 2, 2, 1, 2]
4113	interestedly	1.5	0.67082	[2, 2, 2, 1, 2, 1, 2, 1, 0, 2]
4114	interesting	1.7	0.78102	[1, 2, 1, 3, 1, 1, 1, 3, 2, 2]
4115	interestingly	1.7	0.45826	[2, 2, 2, 1, 2, 1, 1, 2, 2, 2]
4116	interestingness	1.8	0.87178	[2, 3, 1, 3, 1, 3, 2, 1, 1, 1]
4117	interests	1.0	0.89443	[1, 0, 1, 2, 0, 0, 1, 1, 1, 3]
4118	interrogated	-1.6	1.0198	[-3, -1, -1, -1, -2, -1, -3, -1, -3, 0]
4119	interrupt	-1.4	0.4899	[-2, -1, -1, -1, -2, -2, -1, -1, -2, -1]
4120	interrupted	-1.2	0.6	[-1, -2, -1, 0, -1, -1, -2, -1, -2, -1]
4121	interrupter	-1.1	0.53852	[-1, -2, -1, 0, -1, -1, -1, -1, -2, -1]
4122	interrupters	-1.3	0.45826	[-1, -2, -1, -1, -1, -1, -2, -1, -2, -1]
4123	interruptible	-1.3	1.00499	[-2, -1, 0, -2, 0, -3, -2, -1, 0, -2]
4124	interrupting	-1.2	0.4	[-2, -1, -1, -1, -1, -2, -1, -1, -1, -1]
4125	interruption	-1.5	0.67082	[-1, -1, -2, -3, -2, -1, -1, -1, -2, -1]
4126	interruptions	-1.7	0.45826	[-2, -2, -2, -2, -2, -1, -1, -1, -2, -2]
4127	interruptive	-1.4	0.66332	[-2, -2, -1, -2, -2, 0, -1, -1, -1, -2]
4128	interruptor	-1.3	0.64031	[-2, -1, -1, -1, 0, -2, -2, -2, -1, -1]
4129	interrupts	-1.3	0.64031	[-1, -1, -2, -1, -1, -1, -1, -1, -3, -1]
4130	intimidate	-0.8	1.46969	[-1, -2, -2, -2, -2, -1, 2, 1, 1, -2]
4131	intimidated	-1.9	0.7	[-2, -1, -3, -3, -1, -2, -2, -1, -2, -2]
4132	intimidates	-1.3	0.78102	[-2, -1, -1, -1, -3, -2, -1, -1, -1, 0]
4133	intimidating	-1.9	1.04403	[0, -2, -1, -3, -2, -1, -1, -3, -3, -3]
4134	intimidatingly	-1.1	1.64012	[2, -2, -3, -1, -2, -2, 2, -2, -1, -2]
4135	intimidation	-1.8	1.249	[1, -2, -3, -1, -2, -3, -1, -3, -1, -3]
4136	intimidations	-1.4	1.49666	[1, -2, -2, -2, -1, -1, -1, -4, 1, -3]
4137	intimidator	-1.6	0.4899	[-1, -1, -2, -2, -1, -2, -2, -1, -2, -2]
4138	intimidators	-1.6	0.8	[-1, -1, -3, -2, -1, -1, -3, -1, -2, -1]
4139	intimidatory	-1.1	1.22066	[-1, -2, -3, -1, -1, -1, -2, 2, -1, -1]
4140	intricate	0.6	0.66332	[1, 0, 2, 1, 0, 1, 1, 0, 0, 0]
4141	intrigues	0.9	0.9434	[2, -1, 2, 1, 2, 0, 1, 1, 0, 1]
4142	invigorate	1.9	0.83066	[2, 2, 2, 0, 2, 3, 3, 2, 1, 2]
4143	invigorated	0.8	1.8868	[-2, 3, 2, 2, -2, -2, 2, 2, 1, 2]
4144	invigorates	2.1	0.53852	[3, 2, 3, 2, 1, 2, 2, 2, 2, 2]
4145	invigorating	2.1	0.7	[2, 1, 1, 3, 3, 3, 2, 2, 2, 2]
4146	invigoratingly	2.0	0.63246	[2, 2, 1, 2, 1, 3, 2, 2, 2, 3]
4147	invigoration	1.5	1.36015	[2, 2, 1, -2, 1, 3, 3, 2, 1, 2]
4148	invigorations	1.2	0.87178	[1, -1, 2, 2, 1, 1, 2, 1, 2, 1]
4149	invigorator	1.1	1.3	[3, 1, 0, 2, 2, -2, 1, 1, 2, 1]
4150	invigorators	1.2	0.87178	[1, 1, 1, 1, 3, 2, 0, 0, 1, 2]
4151	invincible	2.2	1.77764	[4, 1, 3, 2, 4, 1, 4, -1, 0, 4]
4152	invite	0.6	0.66332	[2, 1, 1, 0, 0, 0, 0, 1, 1, 0]
4153	inviting	1.3	0.45826	[1, 1, 1, 2, 1, 2, 2, 1, 1, 1]
4154	invulnerable	1.3	1.73494	[2, 3, 4, 2, 0, 3, 0, 1, -2, 0]
4155	irate	-2.9	0.53852	[-3, -3, -3, -2, -3, -4, -3, -3, -2, -3]
4156	ironic	-0.5	1.28452	[1, 0, 0, 0, 0, 0, -4, -1, -1, 0]
4157	irony	-0.2	1.07703	[-1, 0, -3, 0, 0, 0, 1, 0, 1, 0]
4158	irrational	-1.4	0.4899	[-1, -1, -1, -2, -2, -2, -1, -1, -2, -1]
4159	irrationalism	-1.5	0.5	[-1, -2, -1, -1, -2, -1, -2, -2, -1, -2]
4160	irrationalist	-2.1	0.9434	[-1, -4, -2, -2, -3, -3, -2, -1, -1, -2]
4161	irrationalists	-1.5	0.92195	[-2, -2, -1, -2, -2, 1, -1, -2, -2, -2]
4162	irrationalities	-1.5	0.80623	[-2, -2, 0, -1, -1, -1, -2, -3, -1, -2]
4163	irrationality	-1.7	0.9	[-3, -3, -1, -2, -1, -1, -1, -1, -3, -1]
4164	irrationally	-1.6	0.4899	[-1, -2, -1, -2, -1, -2, -2, -2, -1, -2]
4165	irrationals	-1.1	0.83066	[-2, 0, -1, 0, -1, -1, -3, -1, -1, -1]
4166	irresistible	1.4	2.2	[2, 3, 2, 3, 4, 4, 1, -1, -2, -2]
4167	irresolute	-1.4	0.66332	[-2, -2, -1, -2, -1, -1, -1, -2, -2, 0]
4168	irresponsible	-1.9	0.3	[-2, -2, -2, -2, -2, -2, -1, -2, -2, -2]
4169	irreversible	-0.8	0.87178	[-2, -2, 0, -1, 0, 0, 0, -1, -2, 0]
4170	irritabilities	-1.7	0.64031	[-2, -2, -2, -1, -1, -1, -1, -2, -3, -2]
4171	irritability	-1.4	1.28062	[-2, -1, -2, -1, 2, -2, -2, -2, -1, -3]
4172	irritable	-2.1	0.7	[-2, -2, -3, -1, -2, -1, -3, -2, -3, -2]
4173	irritableness	-1.7	0.64031	[-2, -2, -2, -1, -2, -1, -1, -3, -1, -2]
4174	irritably	-1.8	0.6	[-2, -2, -1, -1, -3, -2, -1, -2, -2, -2]
4175	irritant	-2.3	0.78102	[-3, -3, -3, -3, -3, -1, -2, -2, -2, -1]
4176	irritants	-2.1	0.83066	[-2, -3, -1, -4, -2, -1, -2, -2, -2, -2]
4177	irritate	-1.8	0.6	[-3, -2, -2, -2, -1, -2, -1, -2, -1, -2]
4178	irritated	-2.0	0.63246	[-1, -2, -2, -2, -3, -2, -2, -3, -1, -2]
4179	irritates	-1.7	0.78102	[-1, -2, -1, -1, -3, -2, -2, -3, -1, -1]
4180	irritating	-2.0	0.63246	[-2, -2, -2, -1, -1, -3, -2, -2, -3, -2]
4181	irritatingly	-2.0	0.44721	[-2, -2, -2, -3, -1, -2, -2, -2, -2, -2]
4182	irritation	-2.3	0.78102	[-3, -2, -2, -2, -1, -3, -3, -1, -3, -3]
4183	irritations	-1.5	0.67082	[-2, -2, -1, -1, -1, -1, -1, -2, -3, -1]
4184	irritative	-2.0	0.63246	[-3, -2, -3, -2, -1, -2, -2, -2, -1, -2]
4185	isolatable	0.2	1.249	[1, 0, -2, 0, -1, -1, 2, 0, 2, 1]
4186	isolate	-0.8	0.74833	[-1, -1, -1, 0, 0, 0, 0, -2, -1, -2]
4187	isolated	-1.3	0.64031	[-1, -1, -1, -1, -1, -1, -2, -1, -3, -1]
4188	isolates	-1.3	0.64031	[-1, -1, -1, -1, -2, -1, -3, -1, -1, -1]
4189	isolation	-1.7	0.78102	[-1, -3, -1, -2, -2, -1, -3, -1, -2, -1]
4190	isolationism	0.4	1.62481	[2, 0, -1, -2, -1, 3, 0, 2, -1, 2]
4191	isolationist	0.7	1.55242	[2, 0, 0, -1, -1, 3, 0, 2, -1, 3]
4192	isolations	-0.5	1.11803	[-1, -2, -2, -1, 1, 1, -1, 0, 1, -1]
4193	isolator	-0.4	0.66332	[0, 0, -1, 0, -1, 0, -2, 0, 0, 0]
